post_id,platform,text_length,language,topic,sentiment,likes,shares,hate_speech,spam,verified,follower_count
POST0000066,Instagram,78,en,technology,positive,3,3,0,0,0,296
POST0000067,Twitter,110,en,finance,positive,40,2,0,0,1,339
POST0000068,Instagram,80,en,politics,neutral,1,20,0,0,1,220
POST0000069,Facebook,112,en,technology,neutral,8,1,0,0,0,6117
POST0000070,Instagram,43,en,politics,positive,1,6,0,0,0,143
POST0000071,Facebook,10,unknown,sports,positive,83,6,0,0,0,4013
POST0000072,Instagram,29,en,health,mixed,194,32,0,0,0,339
POST0000073,Facebook,62,en,finance,positive,20,2,0,0,0,75
POST0000074,Twitter,133,en,health,negative,1626,3,0,0,0,131
POST0000075,Twitter,500,en,politics,positive,12,5,0,0,0,101
POST0000076,LinkedIn,56,en,health,positive,1,0,0,0,0,138
POST0000077,Twitter,53,en,finance,negative,1,1,0,1,0,36
POST0000078,Facebook,117,en-ta,politics,positive,15,0,0,0,0,90
POST0000079,LinkedIn,107,en,finance,positive,38,10,0,0,1,2
POST0000080,LinkedIn,110,en,sports,negative,2968,62,0,0,0,498
POST0000081,LinkedIn,73,en,finance,positive,2,0,0,0,0,131
POST0000082,LinkedIn,18,en,health,negative,5,20,0,0,0,259
POST0000083,Instagram,105,en,technology,positive,52,2,0,0,0,77
POST0000084,Twitter,86,en,politics,negative,24,33,0,0,0,6109
POST0000085,Twitter,25,en,sports,negative,6,4,0,0,0,9
POST0000086,Twitter,143,unknown,technology,negative,18,18,0,1,0,2618
POST0000087,Facebook,161,en,technology,positive,2,2,0,0,0,17
POST0000088,Twitter,140,en,technology,mixed,8,2,0,0,0,91
POST0000089,Twitter,65,en-hi,politics,negative,2,18,0,0,0,837
POST0000090,Instagram,107,en-hi,politics,positive,161,367,0,0,0,19927
POST0000091,Twitter,43,unknown,technology,mixed,88,0,0,0,0,1915
POST0000092,Twitter,29,en,finance,negative,18,3,0,0,0,2
POST0000093,Facebook,83,en,finance,negative,20,0,0,1,1,808
POST0000094,Facebook,27,en,technology,positive,31,1,0,0,0,80
POST0000095,Instagram,80,en,finance,negative,8,0,0,1,0,48816
POST0000096,Instagram,86,en,technology,neutral,0,0,0,0,0,750
POST0000097,Twitter,46,en,politics,neutral,10,7,0,1,0,2713
POST0000098,Instagram,425,en,finance,mixed,53,4,0,0,0,70
POST0000099,Twitter,55,en-hi,sports,mixed,134,0,0,0,0,62
POST0000100,Twitter,106,en,politics,negative,23,0,0,0,1,365
POST0000101,Twitter,77,en,technology,positive,6,15,0,0,0,89
POST0000102,Instagram,190,en,sports,negative,61,1,0,0,0,778
POST0000103,Instagram,68,en,sports,positive,28,241,0,0,0,164
POST0000104,Instagram,32,en-hi,politics,negative,2,2,0,0,0,382
POST0000105,Twitter,125,en,sports,positive,0,2,0,0,0,2797
POST0000106,Twitter,27,en-ta,finance,negative,6,1,0,0,0,429
POST0000107,Instagram,45,en,sports,negative,423,0,0,1,0,236
POST0000108,LinkedIn,59,en,sports,mixed,61,0,0,0,0,97
POST0000109,LinkedIn,61,unknown,health,neutral,390,43,0,0,0,140
POST0000110,Twitter,68,en,sports,positive,18,39,0,0,0,1659
POST0000111,LinkedIn,64,en,sports,positive,18,0,0,0,0,305
POST0000112,Instagram,99,en,finance,neutral,0,7,0,0,0,59
POST0000113,Instagram,52,en,sports,neutral,0,39,0,0,0,181
POST0000114,Facebook,127,en,sports,positive,50,0,0,1,0,2121
POST0000115,Instagram,45,en,politics,negative,29,2,0,0,0,212
POST0000116,Twitter,32,en-hi,health,negative,0,0,0,0,1,2
POST0000117,Twitter,36,en-hi,sports,neutral,26,3,1,0,0,2465
POST0000118,Facebook,64,en,technology,neutral,150,31,0,0,0,247
POST0000119,LinkedIn,195,unknown,health,negative,37,6,0,0,0,1975
POST0000120,Twitter,88,en,finance,neutral,6,8,0,0,0,178
POST0000121,Facebook,62,en,sports,negative,0,0,0,0,1,1052
POST0000122,Twitter,87,en,politics,positive,45,11,0,0,0,1267
POST0000123,LinkedIn,34,en,politics,negative,3,2,0,0,0,92
POST0000124,LinkedIn,22,en,finance,negative,55,204,0,0,0,28
POST0000125,Facebook,40,en,finance,mixed,81,9,0,1,0,40
POST0000126,Facebook,38,en,technology,neutral,126,1,0,0,0,605
POST0000127,Instagram,500,en,finance,positive,43,118,0,0,0,297
POST0000128,Twitter,418,en,finance,mixed,10,2,0,0,0,387
POST0000129,LinkedIn,415,en,health,positive,64,4,1,0,0,947
POST0000130,Twitter,34,en,sports,negative,2,0,0,0,0,211
POST0000131,Twitter,366,en,technology,positive,281,0,0,0,0,162
POST0000132,Instagram,50,en,technology,negative,5,0,0,0,0,77
POST0000133,Instagram,335,en,technology,negative,752,1,0,0,0,852
POST0000134,Twitter,127,en,sports,negative,12,0,0,0,1,12079
POST0000135,Facebook,40,en,finance,positive,54,0,0,0,0,147
POST0000136,Twitter,338,en,finance,negative,25,3,0,0,0,986
POST0000137,Facebook,327,en,health,negative,0,0,0,0,0,5655
POST0000138,Instagram,38,en-hi,health,positive,58,11,0,0,0,104
POST0000139,Facebook,116,en,technology,positive,4,139,0,0,0,13494
POST0000140,Twitter,19,en,sports,mixed,15,4,0,0,0,62
POST0000141,Facebook,65,en-ta,finance,neutral,22,4,0,0,0,1222
POST0000142,Twitter,65,en,sports,positive,2,0,0,0,0,43
POST0000143,Instagram,64,en,finance,mixed,5,9,0,0,0,1154
POST0000144,Instagram,326,en,sports,negative,247,2,0,0,0,108
POST0000145,Instagram,30,en,sports,neutral,1,7,0,0,0,4
POST0000146,Twitter,75,en,technology,negative,65,0,0,0,0,6566
POST0000147,Instagram,164,en-ta,health,neutral,9,1,0,0,0,610
POST0000148,Twitter,31,en,politics,negative,148,31,0,0,0,137
POST0000149,Twitter,44,en,sports,positive,82,0,1,0,0,252
POST0000150,Facebook,219,en-hi,politics,mixed,5,1,0,0,0,274
POST0000151,Instagram,264,en,technology,neutral,79,16,1,0,0,197
POST0000152,Instagram,63,en-hi,sports,positive,6,10,0,0,1,185
POST0000153,Instagram,178,en,technology,positive,614,22,0,0,0,305
POST0000154,Twitter,312,en,politics,negative,25,0,0,0,0,21534
POST0000155,Twitter,64,en,finance,neutral,10,1,0,0,0,4
POST0000156,Instagram,169,en,sports,positive,8,0,0,0,0,7
POST0000157,Instagram,64,en,technology,mixed,9,0,0,0,0,990
POST0000158,Instagram,30,en,politics,neutral,11,0,0,0,1,2
POST0000159,LinkedIn,90,en,sports,mixed,84,2,0,0,0,148
POST0000160,Twitter,74,en,politics,negative,7,64,0,0,0,83
POST0000161,LinkedIn,42,en,finance,positive,3,34,0,0,0,373
POST0000162,LinkedIn,68,en,sports,mixed,171,8,0,0,1,115
POST0000163,LinkedIn,75,en-hi,technology,neutral,305,0,0,0,1,299
POST0000164,Instagram,112,en,technology,positive,4,0,0,0,1,84
POST0000165,LinkedIn,206,en,technology,negative,11,1,0,0,1,32
POST0000166,LinkedIn,206,en,technology,positive,241,6,1,1,0,236
POST0000167,Instagram,83,en,sports,positive,50,8,0,0,0,1120
POST0000168,LinkedIn,58,unknown,finance,neutral,491,4,0,0,0,1422
POST0000169,LinkedIn,262,en,finance,negative,81,2,0,0,0,578
POST0000170,Twitter,83,en-ta,technology,neutral,52,4,0,1,0,5168
POST0000171,Instagram,55,en,technology,negative,9,0,0,0,0,478
POST0000172,Instagram,103,en-ta,technology,neutral,2,0,0,0,0,2090
POST0000173,Twitter,20,en,technology,negative,1,1,0,0,0,237
POST0000174,Twitter,61,en-hi,sports,negative,18,3,0,0,0,1006
POST0000175,Instagram,58,en-hi,finance,negative,336,2,0,0,0,20302
POST0000176,Instagram,47,en,health,positive,2,0,0,0,0,575
POST0000177,Twitter,122,en-hi,health,negative,15,1,0,1,0,4422
POST0000178,Instagram,213,en,finance,neutral,0,0,0,0,0,411
POST0000179,Facebook,348,unknown,technology,positive,320,39,0,1,0,32
POST0000180,Instagram,60,en,health,positive,3,8,0,0,0,553
POST0000181,Instagram,71,unknown,sports,mixed,1875,0,0,0,1,1174
POST0000182,Twitter,52,en-ta,technology,positive,50,3,0,0,0,2205
POST0000183,Facebook,138,en,finance,neutral,439,0,0,0,0,103
POST0000184,Instagram,20,en,finance,negative,0,0,0,0,0,753406
POST0000185,LinkedIn,65,en,politics,neutral,0,0,0,0,0,3496
POST0000186,Twitter,113,en,sports,positive,9,15,0,0,0,4979
POST0000187,Twitter,54,en,sports,neutral,21,20,0,0,0,2343
POST0000188,Twitter,63,en-hi,politics,positive,70,0,0,0,1,75
POST0000189,Twitter,198,en,politics,positive,437,25,0,0,0,174
POST0000190,Instagram,86,en,politics,positive,10,182,0,0,0,1243
POST0000191,Twitter,234,en-ta,sports,negative,8,1,0,0,0,10
POST0000192,Twitter,333,en,politics,neutral,12,0,0,1,0,156
POST0000193,Twitter,137,en,sports,positive,41,2,0,0,0,147
POST0000194,Facebook,71,en,politics,neutral,1,28,0,0,0,1356
POST0000195,Facebook,319,en-hi,health,negative,0,37,0,0,1,55
POST0000196,Twitter,11,unknown,finance,neutral,38,2,0,0,0,22498
POST0000197,LinkedIn,26,en,sports,neutral,1,0,0,0,0,255409
POST0000198,Twitter,166,en,technology,positive,197,4,0,0,1,959
POST0000199,Twitter,500,en,technology,neutral,0,2,0,0,0,4856
POST0000200,Twitter,155,en-ta,politics,neutral,4,3,0,0,0,1088
POST0000201,Twitter,104,en,politics,positive,1,1,0,0,0,136
POST0000202,Instagram,61,en,sports,positive,5,3,0,0,0,61
POST0000203,Twitter,140,en,health,negative,3,0,0,0,1,800
POST0000204,Instagram,227,en,technology,positive,190,5,1,0,0,104
POST0000205,Twitter,163,en,sports,positive,5531,26,0,0,1,3062
POST0000206,Twitter,94,en,technology,neutral,1,1,0,0,0,111
POST0000207,LinkedIn,205,en,finance,positive,5,3,0,0,1,627
POST0000208,Twitter,114,en,politics,positive,15,0,0,0,0,72
POST0000209,LinkedIn,135,en,sports,positive,2,7,0,0,0,63
POST0000210,Twitter,195,en,politics,negative,61,17,0,0,0,7247
POST0000211,LinkedIn,42,en,sports,positive,1,72,0,0,1,160
POST0000212,LinkedIn,88,en,politics,neutral,68,0,0,0,0,179
POST0000213,Facebook,98,en,politics,negative,24,7,0,0,0,110
POST0000214,LinkedIn,34,unknown,sports,negative,90,0,0,0,0,147
POST0000215,Facebook,37,en,finance,positive,19,5,0,0,0,325
POST0000216,Instagram,54,en,technology,negative,86,0,0,0,0,7
POST0000217,Facebook,207,unknown,sports,positive,58,7,0,0,0,2051
POST0000218,Instagram,76,en,finance,negative,14,6,1,0,0,888
POST0000219,Facebook,99,en,health,negative,61,3,0,0,0,2331
POST0000220,LinkedIn,115,en-ta,politics,negative,346,1,0,0,0,5378
POST0000221,Facebook,149,unknown,politics,positive,0,3,0,1,1,540
POST0000222,LinkedIn,134,en,technology,positive,0,17,0,0,0,496
POST0000223,Instagram,95,en,technology,neutral,269,4,0,0,0,1331
POST0000224,LinkedIn,80,en,politics,neutral,121,13,0,0,0,29
POST0000225,Twitter,216,unknown,politics,neutral,350,0,0,0,0,197
POST0000226,Twitter,60,en-ta,sports,positive,16,3,0,0,0,2857
POST0000227,Twitter,267,en-ta,technology,positive,670,1,0,0,0,2269
POST0000228,Twitter,57,en,sports,neutral,6546,12,1,0,0,32796
POST0000229,Facebook,71,en-hi,sports,negative,201,7,0,0,0,346
POST0000230,Instagram,158,en,politics,negative,64,0,0,0,0,4597
POST0000231,Twitter,500,en-ta,technology,negative,87,3,0,0,0,358
POST0000232,Facebook,19,en,finance,mixed,28,2,0,0,0,44
POST0000233,Twitter,179,en,technology,positive,38,5,0,0,0,574
POST0000234,Twitter,131,en,sports,positive,49,5,0,0,0,260
POST0000235,Instagram,62,en,sports,negative,1891,3,0,1,0,173
POST0000236,Twitter,119,en,politics,neutral,4,0,0,0,0,47
POST0000237,Twitter,34,en-hi,health,negative,12,52,0,0,0,240
POST0000238,Facebook,47,en-hi,technology,positive,20,22,0,0,0,75
POST0000239,Instagram,126,en,finance,negative,70,3,0,0,0,21349
POST0000240,Twitter,40,en,technology,negative,32,7,0,0,1,2475
POST0000241,Instagram,101,en,technology,positive,1,9,0,0,0,38
POST0000242,Instagram,52,en,sports,negative,23,0,0,0,0,122
POST0000243,Twitter,62,en,politics,negative,16,32,0,0,0,183
POST0000244,Twitter,212,en,finance,neutral,19,0,0,0,0,265
POST0000245,Facebook,35,en-ta,finance,negative,107,0,0,0,0,75
POST0000246,Twitter,87,en,technology,negative,219,0,0,1,0,323
POST0000247,LinkedIn,132,en,technology,neutral,3,5,0,0,0,3072
POST0000248,Twitter,110,en-ta,finance,negative,950,3,0,0,0,192
POST0000249,Facebook,56,en,finance,positive,1,3,0,0,1,37
POST0000250,Twitter,120,en-ta,health,negative,4,2,1,0,0,7
POST0000251,Instagram,39,en-hi,health,negative,12,1,0,0,0,8
POST0000252,Twitter,60,en,finance,neutral,82,0,0,0,0,712
POST0000253,Twitter,321,en,politics,positive,0,0,0,0,0,519
POST0000254,LinkedIn,150,en,health,neutral,1687,0,0,0,0,269
POST0000255,Instagram,90,en,sports,negative,0,0,0,0,0,125
POST0000256,Twitter,129,en,sports,positive,445,0,0,0,1,172
POST0000257,LinkedIn,47,en,sports,positive,8,0,0,0,1,677
POST0000258,Twitter,112,en,technology,negative,24,1,0,0,0,123
POST0000259,Twitter,62,en,health,negative,0,22,0,1,0,444
POST0000260,Twitter,56,en,technology,positive,88,6,0,0,0,243
POST0000261,LinkedIn,81,en,politics,positive,14,0,0,0,0,491
POST0000262,Instagram,55,en,finance,neutral,209,0,0,0,0,5
POST0000263,Facebook,100,en,finance,positive,1,120,0,0,0,2037
POST0000264,Twitter,125,en,politics,positive,350,1,0,1,0,703
POST0000265,Twitter,72,en,health,negative,0,0,0,0,0,156
POST0000266,Instagram,10,en,politics,positive,33,1,0,0,0,214
POST0000267,Twitter,44,en,finance,positive,1,0,0,1,0,1157
POST0000268,Instagram,37,en,finance,negative,1013,0,0,0,0,311
POST0000269,LinkedIn,121,en,politics,negative,134,2,0,0,0,1353
POST0000270,LinkedIn,50,en,technology,neutral,487,34,0,0,0,505
POST0000271,Instagram,60,en,politics,neutral,11,0,0,1,0,2593
POST0000272,Instagram,176,en,technology,negative,10,5,0,0,0,58
POST0000273,Twitter,48,en,health,positive,18,19,0,0,0,519
POST0000274,LinkedIn,105,en,finance,negative,15,6,0,0,0,11
POST0000275,Instagram,54,en,sports,negative,9,21,0,0,0,58
POST0000276,Twitter,61,en,sports,positive,13,7,0,0,0,26
POST0000277,Facebook,35,en-hi,finance,negative,210,0,0,0,0,293
POST0000278,Instagram,59,en,politics,positive,139,98,0,0,0,205
POST0000279,Instagram,135,en,finance,positive,1,7,0,0,1,118
POST0000280,Facebook,41,en,politics,mixed,83,262,0,0,0,27
POST0000281,Twitter,50,en,politics,negative,1,0,1,0,0,14
POST0000282,Instagram,500,en,finance,positive,396,323,0,1,0,41
POST0000283,Twitter,110,en,sports,negative,2,15,0,0,0,2304
POST0000284,Twitter,118,en,finance,positive,98,6,0,0,0,427
POST0000285,Twitter,54,en,politics,positive,71,0,0,0,0,63
POST0000286,Instagram,207,en,health,neutral,10,11,0,0,0,331
POST0000287,Twitter,236,unknown,sports,negative,9,29,0,0,0,676
POST0000288,Facebook,55,en,politics,neutral,12,0,0,0,1,495
POST0000289,Facebook,211,en,sports,neutral,53,8,0,0,0,136
POST0000290,Facebook,262,en,technology,negative,108,0,0,0,0,137
POST0000291,Twitter,17,unknown,finance,positive,1676,8,0,1,0,157
POST0000292,Instagram,179,en,finance,positive,650,0,0,1,0,4524
POST0000293,Facebook,48,en,sports,positive,64,34,0,0,0,1319
POST0000294,Twitter,259,en,technology,negative,34,2,0,0,0,5320
POST0000295,Twitter,47,en,health,negative,6,12,0,1,0,509
POST0000296,Facebook,146,en,health,negative,73,18,0,1,0,55
POST0000297,Instagram,22,en,health,negative,314,4,0,0,1,5375
POST0000298,Twitter,219,en-hi,sports,positive,201,0,0,0,0,208
POST0000299,Instagram,95,en-hi,politics,positive,35,9,0,0,0,43
POST0000300,Instagram,252,en,finance,neutral,6,2,0,0,0,58
POST0000301,Facebook,50,en,technology,neutral,26,3,0,0,0,1602
POST0000302,Twitter,106,en,technology,mixed,85,1,0,0,0,531
POST0000303,Twitter,303,en,health,positive,215,0,0,0,0,94
POST0000304,Facebook,88,unknown,health,positive,32,3,0,0,0,92
POST0000305,Instagram,126,en-hi,technology,positive,135,0,0,0,0,89515
POST0000306,Facebook,157,en,finance,negative,168,4,0,0,0,988
POST0000307,Instagram,26,unknown,technology,neutral,11,2,1,1,0,280
POST0000308,Instagram,59,en,health,negative,6,0,0,0,1,993
POST0000309,Instagram,223,en,health,negative,596,193,0,0,0,8
POST0000310,Facebook,17,en,sports,neutral,83,1,0,0,0,58
POST0000311,Instagram,220,en,health,positive,61,3,1,0,0,79
POST0000312,Instagram,56,en,sports,neutral,6,116,0,0,0,5627
POST0000313,Twitter,466,en,finance,neutral,0,0,0,0,0,7
POST0000314,Twitter,127,en,health,negative,52,14,0,0,0,60
POST0000315,Twitter,47,en,health,negative,53,0,0,0,0,437
POST0000316,Twitter,197,en,technology,negative,79,1,0,0,0,160
POST0000317,Instagram,283,en,health,neutral,20,6,0,0,0,56
POST0000318,Facebook,145,unknown,finance,positive,6,26,0,0,0,230
POST0000319,Instagram,63,en,politics,neutral,34,0,0,0,0,10402
POST0000320,Instagram,284,en,technology,positive,249,4,0,0,0,2269
POST0000321,Twitter,42,en,finance,positive,60,0,0,0,0,14
POST0000322,LinkedIn,212,en,sports,positive,1,9,0,1,0,471
POST0000323,Facebook,13,en,technology,positive,13,18,0,0,0,11
POST0000324,Instagram,98,en,health,negative,5,10,1,0,0,691
POST0000325,Twitter,57,en,technology,negative,488,0,0,0,0,2539
POST0000326,Facebook,30,en-hi,sports,negative,13,0,0,0,0,26
POST0000327,Twitter,255,en,politics,negative,401,1,0,0,0,856
POST0000328,Facebook,16,en,health,positive,31,0,0,0,0,8361
POST0000329,Twitter,272,en,finance,neutral,8,7,0,0,0,5
POST0000330,LinkedIn,26,en-ta,politics,positive,2,45,0,0,1,492
POST0000331,Instagram,209,en,sports,neutral,9,0,0,0,0,538
POST0000332,Twitter,48,en-ta,politics,neutral,20,7,0,0,0,325
POST0000333,Twitter,18,en,finance,positive,2,0,0,0,0,48
POST0000334,Twitter,62,en-hi,finance,negative,72,33,0,0,0,725
POST0000335,Instagram,141,en,technology,neutral,3,20,0,0,0,180
POST0000336,Facebook,43,en-hi,politics,mixed,1,2,0,0,0,657
POST0000337,Twitter,110,en,technology,positive,1,12,0,0,0,95
POST0000338,Twitter,156,en,health,negative,7,14,0,0,0,430
POST0000339,Instagram,297,en,sports,positive,60,0,0,0,0,81296
POST0000340,Twitter,94,en,health,positive,533,7,0,0,0,18
POST0000341,Facebook,228,en,finance,negative,12,0,1,0,0,1
POST0000342,Twitter,177,en,finance,positive,39,3,0,0,1,525
POST0000343,Facebook,83,en,finance,mixed,17,1,0,0,0,211
POST0000344,Twitter,225,en,finance,positive,0,2,0,1,0,268
POST0000345,Instagram,184,en,politics,positive,42,17,0,0,0,50
POST0000346,Instagram,78,en-ta,politics,positive,19,0,0,0,0,863
POST0000347,Twitter,159,en,finance,positive,0,0,0,0,1,6971
POST0000348,Twitter,111,en,health,positive,589,1,0,0,0,95
POST0000349,LinkedIn,139,en,sports,negative,66,24,0,0,0,2803
POST0000350,Twitter,405,unknown,sports,positive,0,0,0,0,0,701
POST0000351,Twitter,47,en,health,positive,57,0,0,0,1,925
POST0000352,Twitter,110,en,health,positive,8540,28,0,0,0,567
POST0000353,Facebook,92,en,health,positive,20,43,0,0,0,164
POST0000354,Twitter,169,en,sports,neutral,79,10,1,0,0,1530
POST0000355,Twitter,62,en,sports,negative,6,6,0,0,0,131
POST0000356,Instagram,57,en,finance,negative,8,20,0,0,0,2860
POST0000357,Twitter,85,en,finance,neutral,458,1,0,0,0,3928
POST0000358,Instagram,131,en-hi,health,positive,71,10,0,0,0,269
POST0000359,LinkedIn,62,en,politics,neutral,170,0,0,0,0,48
POST0000360,Instagram,10,en,politics,positive,12,69,0,0,0,387
POST0000361,Instagram,42,unknown,technology,neutral,49,21,0,0,0,3774
POST0000362,Facebook,279,en,sports,positive,17,10,0,0,1,148
POST0000363,Instagram,310,en,politics,negative,68,1,0,0,0,524
POST0000364,Twitter,60,en,technology,negative,16,10,0,0,0,251
POST0000365,Twitter,379,en,sports,positive,703,2,1,0,0,186
POST0000366,LinkedIn,69,en,health,negative,12,0,0,1,0,10953
POST0000367,Facebook,26,en,health,negative,47,8,0,0,0,2536
POST0000368,Facebook,70,en,finance,positive,0,0,1,0,0,83
POST0000369,Instagram,160,en,technology,mixed,217,16,0,0,0,6
POST0000370,Instagram,57,en,technology,positive,1,0,1,0,0,1023
POST0000371,Facebook,145,en,technology,positive,5,11,0,0,0,74
POST0000372,Facebook,111,en,technology,neutral,1,0,0,0,0,662
POST0000373,Instagram,71,en,finance,positive,1,1,0,0,1,254
POST0000374,Instagram,167,en,finance,mixed,140,6,0,0,0,5172
POST0000375,Twitter,240,en,health,negative,4,15,0,0,0,289
POST0000376,Instagram,104,en-hi,health,neutral,1,0,0,0,0,619
POST0000377,Instagram,144,en,politics,positive,0,0,0,0,0,31929
POST0000378,Twitter,28,en,technology,neutral,184,20,0,0,0,4260
POST0000379,Twitter,274,en,technology,negative,9,121,0,0,1,11
POST0000380,Facebook,58,en,technology,neutral,18,0,0,0,0,228
POST0000381,Twitter,45,en-hi,finance,positive,126,0,0,0,0,135
POST0000382,LinkedIn,182,en,technology,negative,65,56,0,0,0,1281
POST0000383,Instagram,66,en,technology,negative,29,2,0,0,0,130
POST0000384,Instagram,51,en,health,negative,255,0,0,0,0,18
POST0000385,Instagram,71,en,politics,neutral,1,3,0,1,0,500
POST0000386,Instagram,34,en-hi,finance,mixed,10,132,0,0,0,2730
POST0000387,LinkedIn,51,en,finance,positive,123,10,0,0,0,298
POST0000388,Twitter,203,en,sports,positive,804,12,0,0,1,259
POST0000389,Twitter,228,en-ta,technology,neutral,1002,3,1,0,0,336
POST0000390,Twitter,94,en,technology,negative,1,7,0,0,0,87
POST0000391,Twitter,52,en,technology,positive,23,81,0,0,0,254
POST0000392,LinkedIn,125,en,politics,positive,53,0,0,0,0,222
POST0000393,Twitter,19,en,technology,positive,14,12,0,0,0,1344
POST0000394,Twitter,229,en,finance,positive,80,2,0,0,0,4360
POST0000395,Facebook,85,en,health,negative,1842,2,0,0,0,1786
POST0000396,Twitter,39,en-hi,health,positive,3,0,0,0,1,171
POST0000397,Facebook,295,en-hi,sports,positive,1,6,0,0,0,9
POST0000398,Twitter,93,en,politics,positive,71,8,0,0,0,255
POST0000399,Twitter,64,en,politics,neutral,7,1,0,0,0,1450
POST0000400,Instagram,463,unknown,technology,neutral,77,49,0,0,0,2821
POST0000401,Instagram,59,en-hi,sports,positive,29,3,0,0,0,251
POST0000402,Twitter,163,en,health,positive,13,0,0,0,0,126
POST0000403,Facebook,156,en,technology,mixed,5,8,0,0,0,36
POST0000404,Twitter,45,en,politics,negative,24,0,0,0,0,2057
