chat_id,timestamp,duration_min,num_turns,customer_sentiment,primary_intent,resolution_status,tenure_months,product_tier,churned_30d
CHT000071,2024-08-12 07:00:00,5,1,angry,billing_query,escalated,7,Standard,0
CHT000072,202403090300,1,2,satisfied,technical_issue,unresolved,8,Standard,0
CHT000073,202403210000,3,11,confused,billing_query,escalated,3,Premium,0
CHT000074,2024-02-11 00:00:00,10,15,frustrated,refund_request,unresolved,5,Basic,0
CHT000075,04-01-2024 02:00 AM,14,18,angry,general_enquiry,resolved,36,Basic,0
CHT000076,202408012200,5,18,neutral,general_enquiry,unresolved,1,Premium,0
CHT000077,20/12/2024 04:00,16,8,angry,general_enquiry,unresolved,15,Basic,1
CHT000078,03-14-2024 08:00 PM,13,3,frustrated,technical_issue,unresolved,28,Premium,0
CHT000079,202409241400,7,17,frustrated,cancellation_request,unresolved,42,Basic,1
CHT000080,2024-05-02 05:00:00,21,15,frustrated,refund_request,resolved,18,Basic,0
CHT000081,202411010500,3,6,frustrated,cancellation_request,resolved,1,Standard,1
CHT000082,11-09-2024 02:00 AM,13,15,frustrated,general_enquiry,unresolved,13,Basic,0
CHT000083,2024-06-27 13:00:00,42,17,neutral,technical_issue,unresolved,16,Standard,0
CHT000084,12/10/2024 07:00,10,16,neutral,cancellation_request,unresolved,7,Standard,1
CHT000085,2024-03-01 16:00:00,22,8,frustrated,technical_issue,unresolved,28,Basic,1
CHT000086,12/11/2024 11:00,21,4,frustrated,refund_request,resolved,13,Basic,0
CHT000087,25/08/2024 20:00,9,18,satisfied,technical_issue,escalated,1,Standard,0
CHT000088,21/05/2024 01:00,4,2,neutral,refund_request,resolved,48,Standard,0
CHT000089,202402270400,7,7,confused,cancellation_request,unresolved,19,Premium,0
CHT000090,11/09/2024 05:00,15,11,angry,billing_query,unresolved,53,Premium,0
CHT000091,2024-12-09 01:00:00,28,5,angry,technical_issue,resolved,17,Standard,0
CHT000092,11-26-2024 11:00 AM,3,2,frustrated,cancellation_request,unresolved,20,Premium,0
CHT000093,04-17-2024 01:00 PM,6,3,confused,refund_request,resolved,2,Basic,0
CHT000094,202406201900,12,3,confused,billing_query,resolved,1,Basic,0
CHT000095,2024-01-23 03:00:00,6,16,frustrated,technical_issue,unresolved,2,Premium,0
CHT000096,02/10/2024 05:00,38,11,angry,billing_query,resolved,4,Basic,1
CHT000097,2024-01-15 15:00:00,10,7,neutral,billing_query,resolved,14,Standard,0
CHT000098,202402060700,15,3,neutral,technical_issue,resolved,5,Basic,0
CHT000099,10-30-2024 06:00 PM,6,13,satisfied,technical_issue,resolved,11,Basic,0
CHT000100,08-02-2024 06:00 AM,21,13,neutral,technical_issue,resolved,31,Basic,0
CHT000101,04-27-2024 03:00 AM,5,12,frustrated,cancellation_request,resolved,15,Premium,0
CHT000102,26/04/2024 03:00,17,16,satisfied,refund_request,resolved,14,Basic,0
CHT000103,202407300600,43,17,satisfied,billing_query,resolved,53,Basic,0
CHT000104,202404220200,23,2,angry,technical_issue,unresolved,6,Basic,0
CHT000105,2024-10-26 15:00:00,14,10,satisfied,technical_issue,resolved,27,Premium,0
CHT000106,11/08/2024 04:00,6,19,,general_enquiry,unresolved,36,Standard,1
CHT000107,08/11/2024 14:00,6,16,frustrated,cancellation_request,escalated,34,Standard,0
CHT000108,17/07/2024 11:00,17,5,angry,technical_issue,unresolved,10,Premium,0
CHT000109,22/08/2024 23:00,13,11,neutral,billing_query,unresolved,14,Basic,0
CHT000110,11-19-2024 11:00 AM,25,15,satisfied,refund_request,escalated,10,Basic,0
CHT000111,13/04/2024 10:00,11,18,angry,general_enquiry,unresolved,1,Basic,1
CHT000112,2024-01-17 22:00:00,18,16,angry,general_enquiry,resolved,45,Basic,0
CHT000113,2024-05-23 04:00:00,13,10,satisfied,general_enquiry,resolved,23,Premium,0
CHT000114,202408261400,20,6,frustrated,refund_request,resolved,29,Standard,0
CHT000115,28/03/2024 10:00,9,9,neutral,cancellation_request,unresolved,4,Premium,0
CHT000116,31/05/2024 19:00,3,11,neutral,refund_request,resolved,15,Premium,0
CHT000117,22/11/2024 19:00,27,15,confused,cancellation_request,resolved,2,Premium,0
CHT000118,22/10/2024 17:00,10,4,angry,refund_request,escalated,26,Basic,0
CHT000119,202402141300,36,4,neutral,refund_request,unresolved,4,Basic,0
CHT000120,202404201800,13,12,angry,cancellation_request,resolved,14,Basic,0
CHT000121,2024-08-24 08:00:00,12,11,neutral,cancellation_request,resolved,8,Basic,0
CHT000122,07/08/2024 23:00,35,18,frustrated,refund_request,resolved,42,Premium,0
CHT000123,202405061000,7,5,satisfied,general_enquiry,,11,Standard,0
CHT000124,23/10/2024 07:00,8,1,neutral,cancellation_request,resolved,6,Premium,1
CHT000125,202410200000,17,18,neutral,technical_issue,unresolved,1,Basic,0
CHT000126,202401230100,6,3,frustrated,general_enquiry,resolved,17,Standard,1
CHT000127,202409150100,51,13,,technical_issue,resolved,12,Basic,0
CHT000128,202409281200,9,12,confused,general_enquiry,escalated,20,Basic,0
CHT000129,202412220300,10,16,frustrated,cancellation_request,resolved,15,Basic,0
CHT000130,2024-09-10 07:00:00,36,9,confused,technical_issue,unresolved,25,Premium,0
CHT000131,202410120000,12,15,satisfied,technical_issue,unresolved,2,Basic,0
CHT000132,04-21-2024 04:00 AM,6,8,neutral,cancellation_request,resolved,1,Premium,1
CHT000133,2024-05-31 07:00:00,26,10,frustrated,technical_issue,resolved,6,Premium,0
CHT000134,01-09-2024 03:00 PM,24,19,neutral,refund_request,unresolved,34,Standard,0
CHT000135,202403232200,4,12,neutral,general_enquiry,escalated,55,Standard,0
CHT000136,2024-10-19 23:00:00,6,4,frustrated,refund_request,unresolved,4,Basic,0
CHT000137,20/08/2024 14:00,5,16,angry,billing_query,resolved,7,Standard,1
CHT000138,26/12/2024 12:00,1,1,neutral,technical_issue,resolved,61,Basic,0
CHT000139,202407082000,66,4,frustrated,cancellation_request,unresolved,6,Basic,0
CHT000140,2024-12-26 20:00:00,3,18,angry,general_enquiry,resolved,17,Standard,0
CHT000141,202411170200,6,14,satisfied,cancellation_request,unresolved,4,Premium,0
CHT000142,2024-12-19 10:00:00,18,18,frustrated,technical_issue,resolved,35,Basic,0
CHT000143,05-31-2024 01:00 PM,15,19,frustrated,refund_request,unresolved,22,Basic,0
CHT000144,23/12/2024 19:00,20,14,confused,refund_request,resolved,3,Basic,0
CHT000145,12-16-2024 02:00 AM,15,19,angry,billing_query,unresolved,14,Basic,0
CHT000146,01-29-2024 04:00 PM,41,4,angry,billing_query,unresolved,10,Basic,0
CHT000147,202401270300,7,1,frustrated,cancellation_request,resolved,26,Premium,1
CHT000148,2024-07-06 14:00:00,49,11,frustrated,general_enquiry,resolved,23,Standard,0
CHT000149,06/07/2024 11:00,8,19,confused,technical_issue,resolved,21,Standard,0
CHT000150,2024-11-27 17:00:00,4,7,confused,cancellation_request,unresolved,22,Basic,0
CHT000151,14/10/2024 22:00,8,2,neutral,technical_issue,unresolved,40,Standard,0
CHT000152,11/03/2024 10:00,18,3,satisfied,billing_query,escalated,26,Standard,0
CHT000153,202410030300,33,11,satisfied,cancellation_request,unresolved,14,Standard,0
CHT000154,24/10/2024 22:00,21,13,confused,cancellation_request,resolved,38,Premium,0
CHT000155,04-25-2024 10:00 AM,4,3,angry,general_enquiry,escalated,7,Standard,1
CHT000156,202405161600,6,1,neutral,technical_issue,unresolved,37,Premium,0
CHT000157,2024-05-21 01:00:00,7,19,satisfied,cancellation_request,resolved,16,Standard,0
CHT000158,202407091100,15,1,neutral,general_enquiry,unresolved,30,Standard,0
CHT000159,2024-09-05 16:00:00,27,8,neutral,cancellation_request,unresolved,21,Premium,0
CHT000160,08-28-2024 10:00 PM,13,16,neutral,general_enquiry,resolved,6,Premium,0
CHT000161,08-19-2024 07:00 PM,3,4,confused,cancellation_request,escalated,84,Basic,0
CHT000162,2024-12-10 22:00:00,36,16,neutral,cancellation_request,unresolved,5,Standard,1
CHT000163,2024-04-06 14:00:00,7,5,satisfied,refund_request,resolved,14,Premium,0
CHT000164,11/02/2024 12:00,33,3,confused,refund_request,unresolved,5,Standard,0
CHT000165,2024-05-27 02:00:00,9,19,neutral,cancellation_request,resolved,11,Standard,0
CHT000166,2024-03-25 08:00:00,10,9,satisfied,cancellation_request,resolved,17,Standard,0
CHT000167,202412220400,16,5,frustrated,refund_request,resolved,4,Standard,0
CHT000168,2024-03-18 06:00:00,25,19,angry,billing_query,resolved,13,Premium,0
CHT000169,30/05/2024 13:00,69,8,angry,technical_issue,,31,Standard,1
CHT000170,202408301100,8,9,frustrated,general_enquiry,unresolved,38,Standard,0
CHT000171,2024-08-15 23:00:00,10,9,frustrated,technical_issue,escalated,6,Standard,1
CHT000172,2024-05-29 06:00:00,5,6,frustrated,cancellation_request,resolved,3,Standard,0
CHT000173,01-12-2024 07:00 AM,6,1,angry,billing_query,unresolved,7,Standard,0
CHT000174,07-29-2024 06:00 PM,10,10,neutral,refund_request,resolved,4,Basic,0
CHT000175,12-01-2024 08:00 PM,27,8,satisfied,cancellation_request,resolved,23,Basic,0
CHT000176,202409051800,7,3,neutral,cancellation_request,resolved,58,Premium,0
CHT000177,22/08/2024 09:00,26,15,angry,refund_request,unresolved,6,Premium,1
CHT000178,06-05-2024 05:00 AM,8,8,neutral,refund_request,escalated,6,Standard,0
CHT000179,04-26-2024 03:00 PM,29,15,angry,technical_issue,resolved,22,Standard,0
CHT000180,27/05/2024 01:00,1,17,neutral,general_enquiry,unresolved,20,Basic,0
CHT000181,202406290900,7,8,,general_enquiry,unresolved,10,Basic,0
CHT000182,26/03/2024 19:00,27,1,neutral,technical_issue,,6,Basic,0
CHT000183,12-30-2024 05:00 PM,17,16,satisfied,technical_issue,resolved,11,Standard,0
CHT000184,03/04/2024 05:00,11,19,angry,technical_issue,unresolved,21,Premium,0
CHT000185,2024-03-23 07:00:00,15,6,neutral,refund_request,resolved,9,Premium,0
CHT000186,22/01/2024 10:00,17,14,frustrated,technical_issue,resolved,36,Premium,0
CHT000187,08-13-2024 08:00 AM,11,14,neutral,refund_request,escalated,19,Premium,0
CHT000188,2024-04-04 06:00:00,9,11,confused,refund_request,resolved,19,Basic,0
CHT000189,12-06-2024 10:00 AM,25,9,neutral,cancellation_request,resolved,21,Basic,1
CHT000190,202403161100,24,11,neutral,cancellation_request,unresolved,45,Basic,0
CHT000191,10-03-2024 05:00 AM,28,3,satisfied,technical_issue,,8,Basic,0
CHT000192,202403030000,66,9,neutral,billing_query,resolved,11,Basic,0
CHT000193,202409120400,15,17,satisfied,technical_issue,resolved,1,Standard,1
CHT000194,2024-06-12 04:00:00,66,7,frustrated,cancellation_request,resolved,5,Premium,1
CHT000195,10-06-2024 04:00 PM,44,10,neutral,cancellation_request,unresolved,6,Basic,0
CHT000196,11-27-2024 10:00 PM,45,8,frustrated,billing_query,escalated,84,Basic,0
CHT000197,30/08/2024 09:00,18,14,satisfied,refund_request,resolved,9,Basic,0
CHT000198,202410162300,27,11,angry,billing_query,,3,Basic,0
CHT000199,2024-06-22 22:00:00,47,14,frustrated,general_enquiry,escalated,49,Premium,1
CHT000200,02/09/2024 01:00,5,11,frustrated,refund_request,resolved,10,Standard,0
CHT000201,2024-12-13 17:00:00,11,10,neutral,general_enquiry,resolved,5,Standard,0
CHT000202,202406060000,15,10,angry,cancellation_request,escalated,37,Premium,1
CHT000203,202411120700,32,17,frustrated,general_enquiry,escalated,15,Basic,0
CHT000204,07-01-2024 02:00 AM,21,14,satisfied,general_enquiry,resolved,18,Basic,0
CHT000205,29/01/2024 19:00,25,18,frustrated,cancellation_request,escalated,6,Basic,0
CHT000206,25/10/2024 16:00,18,1,satisfied,refund_request,resolved,20,Standard,0
CHT000207,2024-05-22 06:00:00,15,1,frustrated,refund_request,unresolved,33,Basic,0
CHT000208,202402121700,3,9,neutral,technical_issue,unresolved,17,Premium,0
CHT000209,2024-12-12 21:00:00,8,11,satisfied,technical_issue,resolved,24,Standard,0
CHT000210,19/09/2024 12:00,24,6,satisfied,refund_request,unresolved,6,Basic,0
CHT000211,2024-09-08 10:00:00,12,14,neutral,billing_query,escalated,56,Standard,0
CHT000212,202412071100,3,3,neutral,technical_issue,unresolved,23,Basic,0
CHT000213,202403162200,8,17,angry,technical_issue,resolved,4,Premium,0
CHT000214,07-08-2024 12:00 PM,61,8,frustrated,technical_issue,resolved,5,Standard,0
CHT000215,01-07-2024 09:00 AM,3,14,neutral,billing_query,resolved,49,Standard,0
CHT000216,202406280900,2,4,neutral,technical_issue,unresolved,10,Standard,0
CHT000217,14/10/2024 02:00,30,12,neutral,technical_issue,escalated,7,Basic,0
CHT000218,202408152300,11,6,angry,general_enquiry,resolved,11,Premium,1
CHT000219,14/08/2024 09:00,19,5,frustrated,refund_request,resolved,8,Basic,0
CHT000220,202408052300,24,17,angry,cancellation_request,,22,Basic,1
CHT000221,2024-03-12 18:00:00,4,19,frustrated,billing_query,unresolved,8,Standard,0
CHT000222,03-14-2024 06:00 AM,25,14,frustrated,general_enquiry,resolved,1,Premium,1
CHT000223,08-31-2024 04:00 PM,2,4,neutral,technical_issue,resolved,1,Basic,0
CHT000224,202402031800,15,12,neutral,refund_request,unresolved,82,Basic,0
CHT000225,202402150000,23,7,neutral,technical_issue,unresolved,21,Standard,0
CHT000226,202411230800,13,4,,cancellation_request,escalated,4,Basic,0
CHT000227,202403301700,4,4,neutral,technical_issue,resolved,19,Basic,0
CHT000228,29/12/2024 18:00,12,8,satisfied,cancellation_request,escalated,39,Premium,1
CHT000229,202404120500,44,4,angry,technical_issue,unresolved,23,Premium,0
CHT000230,202405281700,18,10,satisfied,general_enquiry,resolved,22,Standard,0
CHT000231,01-22-2024 09:00 AM,7,1,neutral,refund_request,unresolved,19,Basic,0
CHT000232,202409091700,11,1,satisfied,technical_issue,unresolved,26,Basic,0
CHT000233,2024-04-24 00:00:00,26,4,confused,technical_issue,escalated,11,Standard,1
CHT000234,03-19-2024 08:00 AM,42,2,neutral,billing_query,unresolved,3,Standard,0
CHT000235,202411232000,2,11,frustrated,technical_issue,resolved,5,Standard,1
CHT000236,03-04-2024 08:00 PM,30,4,satisfied,technical_issue,resolved,19,Premium,0
CHT000237,202408010500,27,5,neutral,refund_request,resolved,3,Basic,0
CHT000238,18/12/2024 20:00,5,9,neutral,technical_issue,escalated,4,Standard,0
CHT000239,01-15-2024 03:00 AM,18,11,confused,cancellation_request,resolved,28,Standard,0
CHT000240,09-09-2024 02:00 AM,9,14,,cancellation_request,resolved,13,Standard,0
CHT000241,202410241500,6,13,frustrated,cancellation_request,escalated,1,Standard,0
CHT000242,202405122000,10,2,frustrated,cancellation_request,resolved,14,Standard,1
CHT000243,12-21-2024 03:00 AM,3,13,angry,refund_request,resolved,5,Basic,0
CHT000244,2024-09-19 23:00:00,12,3,angry,technical_issue,unresolved,6,Basic,1
CHT000245,2024-05-12 05:00:00,8,1,neutral,billing_query,resolved,3,Basic,0
CHT000246,202403151000,9,9,frustrated,cancellation_request,unresolved,3,Basic,1
CHT000247,12-20-2024 04:00 AM,9,19,angry,billing_query,resolved,13,Basic,1
CHT000248,03-24-2024 01:00 AM,10,10,frustrated,refund_request,resolved,11,Standard,0
CHT000249,07-03-2024 01:00 PM,6,1,frustrated,billing_query,resolved,12,Premium,0
CHT000250,01-25-2024 09:00 AM,1,12,frustrated,technical_issue,unresolved,4,Standard,0
CHT000251,2024-09-28 20:00:00,58,1,frustrated,technical_issue,unresolved,16,Basic,1
CHT000252,20/09/2024 06:00,48,11,neutral,general_enquiry,resolved,22,Basic,0
CHT000253,18/02/2024 19:00,21,6,frustrated,refund_request,unresolved,51,Standard,0
CHT000254,10-05-2024 10:00 AM,8,11,neutral,general_enquiry,escalated,44,Basic,0
CHT000255,12-16-2024 09:00 AM,22,5,neutral,general_enquiry,unresolved,37,Premium,0
CHT000256,12-16-2024 10:00 PM,3,4,neutral,cancellation_request,resolved,3,Basic,0
CHT000257,02-19-2024 05:00 PM,25,10,neutral,billing_query,escalated,37,Premium,0
CHT000258,14/03/2024 00:00,8,11,confused,cancellation_request,resolved,6,Standard,1
CHT000259,09-22-2024 09:00 AM,4,16,frustrated,general_enquiry,resolved,6,Basic,0
CHT000260,09-05-2024 01:00 PM,30,14,satisfied,technical_issue,resolved,8,Standard,0
CHT000261,24/03/2024 03:00,18,10,confused,cancellation_request,resolved,1,Standard,0
CHT000262,20/03/2024 16:00,8,12,frustrated,billing_query,unresolved,20,Basic,0
CHT000263,2024-04-06 17:00:00,11,12,satisfied,billing_query,unresolved,12,Basic,0
CHT000264,2024-08-01 14:00:00,5,17,angry,cancellation_request,resolved,15,Basic,1
CHT000265,2024-02-29 04:00:00,18,18,frustrated,general_enquiry,resolved,24,Standard,0
CHT000266,09-02-2024 11:00 AM,17,12,satisfied,technical_issue,resolved,35,Standard,0
CHT000267,19/12/2024 11:00,16,14,angry,refund_request,resolved,1,Standard,0
CHT000268,08-14-2024 07:00 PM,2,8,frustrated,refund_request,resolved,37,Standard,0
CHT000269,03-29-2024 10:00 PM,14,14,frustrated,technical_issue,resolved,23,Basic,0
CHT000270,2024-01-15 23:00:00,4,4,neutral,technical_issue,escalated,23,Basic,0
CHT000271,23/04/2024 04:00,24,9,satisfied,refund_request,resolved,1,Premium,0
CHT000272,12-18-2024 07:00 AM,11,16,neutral,billing_query,escalated,1,Standard,0
CHT000273,05/03/2024 06:00,70,15,angry,technical_issue,resolved,2,Standard,0
CHT000274,2024-02-10 13:00:00,7,4,angry,cancellation_request,resolved,49,Premium,0
CHT000275,202402090000,3,14,frustrated,technical_issue,unresolved,13,Premium,0
CHT000276,08/08/2024 01:00,6,11,frustrated,billing_query,escalated,2,Premium,0
CHT000277,2024-02-25 01:00:00,12,5,neutral,general_enquiry,resolved,1,Standard,0
CHT000278,08-28-2024 03:00 AM,5,7,frustrated,cancellation_request,escalated,5,Premium,0
CHT000279,01-23-2024 02:00 AM,1,12,angry,billing_query,unresolved,45,Premium,1
CHT000280,2024-12-07 00:00:00,20,13,neutral,general_enquiry,,26,Basic,0
CHT000281,04/03/2024 19:00,64,18,satisfied,general_enquiry,escalated,11,Premium,0
CHT000282,27/10/2024 06:00,36,7,angry,technical_issue,resolved,14,Standard,0
CHT000283,2024-12-09 11:00:00,9,17,angry,billing_query,resolved,20,Standard,0
CHT000284,02-16-2024 04:00 AM,7,10,satisfied,technical_issue,escalated,8,Basic,0
CHT000285,10-23-2024 11:00 AM,11,16,satisfied,billing_query,resolved,7,Basic,0
CHT000286,23/03/2024 16:00,30,7,satisfied,technical_issue,resolved,12,Premium,0
CHT000287,2024-09-15 18:00:00,7,8,satisfied,cancellation_request,,2,Premium,0
CHT000288,2024-02-20 18:00:00,10,15,angry,billing_query,escalated,1,Basic,0
CHT000289,27/09/2024 06:00,73,2,frustrated,general_enquiry,resolved,7,Basic,0
CHT000290,2024-05-24 05:00:00,13,17,neutral,cancellation_request,,14,Standard,0
CHT000291,202402200600,37,10,frustrated,refund_request,resolved,10,Premium,0
CHT000292,06/07/2024 22:00,15,8,angry,technical_issue,escalated,30,Basic,0
CHT000293,2024-08-13 21:00:00,11,10,neutral,cancellation_request,resolved,12,Basic,0
CHT000294,202404021100,11,13,angry,cancellation_request,escalated,24,Standard,1
CHT000295,05/08/2024 06:00,3,3,satisfied,general_enquiry,resolved,13,Basic,0
CHT000296,07-27-2024 03:00 AM,17,10,frustrated,technical_issue,resolved,19,Standard,1
CHT000297,2024-03-04 14:00:00,18,12,frustrated,billing_query,resolved,22,Premium,0
CHT000298,202409230400,5,16,frustrated,billing_query,resolved,1,Premium,0
CHT000299,07-03-2024 10:00 PM,30,8,neutral,technical_issue,escalated,15,Basic,0
CHT000300,2024-10-12 23:00:00,13,12,confused,technical_issue,unresolved,1,Basic,0
CHT000301,202402121000,9,8,angry,technical_issue,resolved,2,Standard,0
CHT000302,02-29-2024 12:00 PM,41,11,neutral,technical_issue,resolved,12,Standard,0
CHT000303,08-21-2024 07:00 PM,3,14,neutral,technical_issue,unresolved,18,Basic,0
CHT000304,17/12/2024 14:00,17,15,satisfied,technical_issue,resolved,54,Basic,0
CHT000305,10-10-2024 01:00 PM,20,4,angry,billing_query,unresolved,25,Premium,0
CHT000306,2024-08-07 06:00:00,15,1,angry,refund_request,escalated,20,Basic,1
CHT000307,08-31-2024 09:00 PM,7,18,angry,billing_query,resolved,40,Premium,0
CHT000308,202404010000,70,17,frustrated,cancellation_request,resolved,37,Standard,1
CHT000309,202412100300,21,9,confused,general_enquiry,resolved,17,Standard,0
CHT000310,2024-08-12 16:00:00,5,12,frustrated,technical_issue,resolved,2,Basic,1
CHT000311,202403020400,7,3,neutral,cancellation_request,escalated,18,Premium,0
CHT000312,2024-07-24 22:00:00,2,19,satisfied,cancellation_request,escalated,14,Premium,0
CHT000313,03-27-2024 02:00 AM,10,12,angry,billing_query,resolved,6,Premium,0
CHT000314,11/04/2024 10:00,63,19,neutral,technical_issue,unresolved,1,Standard,0
CHT000315,2024-10-31 12:00:00,3,3,satisfied,technical_issue,resolved,13,Basic,0
CHT000316,202404291300,15,19,confused,billing_query,resolved,10,Basic,0
CHT000317,05-22-2024 10:00 PM,9,2,neutral,refund_request,unresolved,1,Basic,0
CHT000318,11-25-2024 12:00 PM,15,19,satisfied,cancellation_request,resolved,12,Basic,0
CHT000319,202408312100,16,3,satisfied,technical_issue,resolved,7,Basic,0
CHT000320,09-05-2024 04:00 PM,14,11,frustrated,general_enquiry,resolved,3,Premium,0
CHT000321,2024-03-16 14:00:00,3,12,satisfied,general_enquiry,resolved,1,Premium,0
CHT000322,202403030800,6,3,frustrated,cancellation_request,unresolved,8,Premium,0
